"","site","species","Girth (cm)"
"517",3,"Dolichandrone atrovirens",13
"518",3,"Dolichandrone atrovirens",15
"519",3,"Dolichandrone atrovirens",12
"520",3,"Dolichandrone atrovirens",18
"521",3,"Dolichandrone atrovirens",12
"522",4,"Dolichandrone atrovirens",3
"523",4,"Dolichandrone atrovirens",4
"524",4,"Dolichandrone atrovirens",2.5
"525",4,"Dolichandrone atrovirens",2
"526",4,"Dolichandrone atrovirens",1.5
"527",4,"Dolichandrone atrovirens",3
"528",4,"Dolichandrone atrovirens",3
"529",4,"Dolichandrone atrovirens",4
"530",4,"Dolichandrone atrovirens",19
"531",4,"Dolichandrone atrovirens",17
"532",4,"Dolichandrone atrovirens",24
"533",4,"Dolichandrone atrovirens",19
"534",4,"Dolichandrone atrovirens",26
"535",4,"Dolichandrone atrovirens",15
"536",4,"Dolichandrone atrovirens",23
"537",4,"Dolichandrone atrovirens",17
"538",4,"Dolichandrone atrovirens",19
"539",4,"Dolichandrone atrovirens",20
"540",4,"Dolichandrone atrovirens",14
"541",4,"Dolichandrone atrovirens",17
"542",4,"Dolichandrone atrovirens",13
"543",4,"Dolichandrone atrovirens",12
"544",4,"Dolichandrone atrovirens",13
"545",4,"Dolichandrone atrovirens",14
"546",4,"Dolichandrone atrovirens",13
"547",4,"Dolichandrone atrovirens",14
"548",4,"Dolichandrone atrovirens",13
"549",4,"Dolichandrone atrovirens",15
"550",4,"Dolichandrone atrovirens",15
"551",4,"Dolichandrone atrovirens",19
"552",4,"Dolichandrone atrovirens",16
"553",4,"Dolichandrone atrovirens",16
"554",5,"Dolichandrone atrovirens",3
"555",5,"Dolichandrone atrovirens",4
"556",5,"Pongamia pinnata",5
"557",5,"Pongamia pinnata",4
"558",5,"Pongamia pinnata",2.5
"559",5,"Pongamia pinnata",3
"560",5,"Cassia montana",3
"561",5,"Cassia montana",3.5
"562",5,"Dolichandrone atrovirens",17
"563",5,"Dolichandrone atrovirens",16
"564",5,"Dolichandrone atrovirens",14
"565",5,"Dolichandrone atrovirens",14
"566",5,"Dolichandrone atrovirens",17
"567",5,"Dolichandrone atrovirens",18
"568",5,"Dolichandrone atrovirens",12
"569",5,"Dolichandrone atrovirens",19
"570",5,"Dolichandrone atrovirens",17
"571",5,"Dolichandrone atrovirens",12
"572",5,"Dolichandrone atrovirens",19
"573",5,"Dolichandrone atrovirens",13
"574",5,"Dolichandrone atrovirens",13
"575",5,"Dolichandrone atrovirens",11
"576",5,"Dolichandrone atrovirens",14
"577",5,"Dolichandrone atrovirens",25
"578",5,"Dolichandrone atrovirens",14
"579",5,"Dolichandrone atrovirens",15
"580",5,"Dolichandrone atrovirens",11
"581",5,"Dolichandrone atrovirens",21
"582",5,"Pongamia pinnata",12
"583",6,"Dolichandrone atrovirens",3
"584",6,"Dolichandrone atrovirens",4
